Site,Area_km2,Stream
lb50,1.377,Bear
lb150,1.233,Bear
lb250,1.224,Bear
lb350,1.156,Bear
lb450,1.153,Bear
lcan50,0.786,Canyon
lcan150,0.78,Canyon
lcan250,0.774,Canyon
lcan350,0.769,Canyon
lcan450,0.615,Canyon
lcas50,0.893,Cascade
lcas150,0.889,Cascade
lcas250,0.88,Cascade
lcas350,0.846,Cascade
lcas450,0.838,Cascade
lpar50,1.655,Paradise
lpar150,1.633,Paradise
lpar250,1.601,Paradise
lpar350,1.588,Paradise
lpar450,1.569,Paradise
lzz50,3.532,Zigzag
lzz150,3.012,Zigzag
lzz250,3.007,Zigzag
lzz350,3.005,Zigzag
lzz450,3.002,Zigzag
ub50,0.585,Bear
ub150,0.531,Bear
ub250,0.487,Bear
ub350,0.163,Bear
ub450,0.139,Bear
ucan50,0.602,Canyon
ucan150,0.592,Canyon
ucan250,0.586,Canyon
ucan350,0.581,Canyon
ucan450,0.569,Canyon
ucas50,0.808,Cascade
ucas150,0.796,Cascade
ucas250,0.759,Cascade
ucas350,0.745,Cascade
ucas450,0.705,Cascade
upar50,0.822,Paradise
upar150,0.707,Paradise
upar250,0.702,Paradise
upar350,0.451,Paradise
upar450,0.426,Paradise
uzz50,0.898,Zigzag
uzz150,0.867,Zigzag
uzz250,0.86,Zigzag
uzz350,0.832,Zigzag
uzz450,0.811,Zigzag
